"","Province_State","Country_Region","Last_Update","Confirmed","Deaths","Recovered","Lat","Long_","Active","Admin2","FIPS","Combined_Key","date"
"7998","Georgia","US","3/22/20 23:45",4,0,0,33.03349196,-85.02812115,0,"Troup",13285,"Troup, Georgia, US","03-22-2020"
"7999","Georgia","US","3/22/20 23:45",4,0,0,34.22604035,-84.1231513,0,"Forsyth",13117,"Forsyth, Georgia, US","03-22-2020"
"8000","Georgia","US","3/22/20 23:45",4,0,0,33.91969522,-84.86848792,0,"Paulding",13223,"Paulding, Georgia, US","03-22-2020"
"8001","Georgia","US","3/22/20 23:45",4,0,0,32.00043026,-81.12489526,0,"Chatham",13051,"Chatham, Georgia, US","03-22-2020"
"8002","Georgia","US","3/22/20 23:45",4,0,0,33.70291126,-84.77026156,0,"Douglas",13097,"Douglas, Georgia, US","03-22-2020"
"8003","Georgia","US","3/22/20 23:45",3,0,0,33.54534185,-82.263524,0,"Columbia",13073,"Columbia, Georgia, US","03-22-2020"
"8004","Georgia","US","3/22/20 23:45",3,0,0,31.23279254,-81.53811412,0,"Glynn",13127,"Glynn, Georgia, US","03-22-2020"
"8005","Georgia","US","3/22/20 23:45",3,0,0,32.56934316,-83.82937,0,"Peach",13225,"Peach, Georgia, US","03-22-2020"
"8006","Georgia","US","3/22/20 23:45",3,0,0,33.07841647,-84.14263877,0,"Lamar",13171,"Lamar, Georgia, US","03-22-2020"
"8007","Georgia","US","3/22/20 23:45",2,0,0,34.80987459,-84.96093476,0,"Whitfield",13313,"Whitfield, Georgia, US","03-22-2020"
"8008","Georgia","US","3/22/20 23:45",2,0,0,33.65145002,-84.02202167,0,"Rockdale",13247,"Rockdale, Georgia, US","03-22-2020"
"8009","Georgia","US","3/22/20 23:45",2,1,0,31.32155345,-84.90255207,0,"Early",13099,"Early, Georgia, US","03-22-2020"
"8010","Georgia","US","3/22/20 23:45",2,0,0,32.46325233,-82.92221316,0,"Laurens",13175,"Laurens, Georgia, US","03-22-2020"
