"Province_State","Country_Region","Last_Update","Confirmed","Deaths","Recovered","Lat","Long_","Active","Admin2","FIPS","Combined_Key","date"
"Georgia","US","3/30/20 22:52",463,14,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","03-30-2020"
"Georgia","US","3/30/20 22:52",158,1,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","03-30-2020"
"Georgia","US","2020-03-31 23:43:56",76,2,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","03-31-2020"
"Georgia","US","2020-03-31 23:43:56",279,12,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","03-31-2020"
"Georgia","US","2020-03-31 23:43:56",335,3,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","03-31-2020"
"Georgia","US","2020-03-31 23:43:56",570,17,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","03-31-2020"
"Georgia","US","2020-03-31 23:43:56",238,2,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","03-31-2020"
"Georgia","US","2020-04-01 21:58:49",83,4,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","04-01-2020"
"Georgia","US","2020-04-01 21:58:49",293,15,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","04-01-2020"
"Georgia","US","2020-04-01 21:58:49",365,4,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","04-01-2020"
"Georgia","US","2020-04-01 21:58:49",624,19,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","04-01-2020"
"Georgia","US","2020-04-01 21:58:49",250,4,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","04-01-2020"
"Georgia","US","4/2/20 23:25",92,4,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","04-02-2020"
"Georgia","US","4/2/20 23:25",329,17,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","04-02-2020"
"Georgia","US","4/2/20 23:25",396,6,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","04-02-2020"
"Georgia","US","4/2/20 23:25",712,22,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","04-02-2020"
"Georgia","US","4/2/20 23:25",282,6,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","04-02-2020"
"Georgia","US","2020-04-03 22:46:37",104,5,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","04-03-2020"
"Georgia","US","2020-04-03 22:46:37",381,18,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","04-03-2020"
"Georgia","US","2020-04-03 22:46:37",448,8,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","04-03-2020"
"Georgia","US","2020-04-03 22:46:37",882,23,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","04-03-2020"
"Georgia","US","2020-04-03 22:46:37",329,8,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","04-03-2020"
"Georgia","US","4/4/20 23:34",114,5,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","04-04-2020"
"Georgia","US","4/4/20 23:34",428,20,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","04-04-2020"
"Georgia","US","4/4/20 23:34",500,8,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","04-04-2020"
"Georgia","US","4/4/20 23:34",941,26,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","04-04-2020"
"Georgia","US","4/4/20 23:34",364,8,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","04-04-2020"
"Georgia","US","2020-04-05 23:06:45",122,5,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","04-05-2020"
"Georgia","US","2020-04-05 23:06:45",456,23,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","04-05-2020"
"Georgia","US","2020-04-05 23:06:45",543,9,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","04-05-2020"
"Georgia","US","2020-04-05 23:06:45",962,27,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","04-05-2020"
"Georgia","US","2020-04-05 23:06:45",408,8,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","04-05-2020"
"Georgia","US","4/6/20 23:22",133,5,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","04-06-2020"
"Georgia","US","4/6/20 23:22",515,25,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","04-06-2020"
"Georgia","US","4/6/20 23:22",579,10,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","04-06-2020"
"Georgia","US","4/6/20 23:22",1027,28,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","04-06-2020"
"Georgia","US","4/6/20 23:22",443,10,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","04-06-2020"
"Georgia","US","2020-04-07 23:04:49",144,5,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","04-07-2020"
"Georgia","US","2020-04-07 23:04:49",550,29,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","04-07-2020"
"Georgia","US","2020-04-07 23:04:49",645,11,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","04-07-2020"
"Georgia","US","2020-04-07 23:04:49",1124,36,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","04-07-2020"
"Georgia","US","2020-04-07 23:04:49",525,10,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","04-07-2020"
"Georgia","US","2020-04-08 22:51:58",151,6,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","04-08-2020"
"Georgia","US","2020-04-08 22:51:58",588,29,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","04-08-2020"
"Georgia","US","2020-04-08 22:51:58",706,11,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","04-08-2020"
"Georgia","US","2020-04-08 22:51:58",1240,41,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","04-08-2020"
"Georgia","US","2020-04-08 22:51:58",565,15,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","04-08-2020"
"Georgia","US","2020-04-09 23:02:37",159,6,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","04-09-2020"
"Georgia","US","2020-04-09 23:02:37",629,29,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","04-09-2020"
"Georgia","US","2020-04-09 23:02:37",742,12,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","04-09-2020"
"Georgia","US","2020-04-09 23:02:37",1276,45,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","04-09-2020"
"Georgia","US","2020-04-09 23:02:37",603,17,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","04-09-2020"
"Georgia","US","2020-04-10 22:54:07",170,7,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","04-10-2020"
"Georgia","US","2020-04-10 22:54:07",662,33,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","04-10-2020"
"Georgia","US","2020-04-10 22:54:07",795,13,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","04-10-2020"
"Georgia","US","2020-04-10 22:54:07",1364,48,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","04-10-2020"
"Georgia","US","2020-04-10 22:54:07",646,17,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","04-10-2020"
